0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
25M01,9,1070,1160,1055,1090,+15,+1.4,9.77,406,45.1,"4,477",497,-23,+2.07,+3.15,-17.8,73.5,+1.03,27.2,-0.23,0.21,0.76
24M12,22,1020,1095,1015,1075,+79,+7.93,8.03,742,33.7,"7,932",361,+71.9,+0.73,-0.57,+72.1,73.6,-6.06,26.2,+0.22,0.44,1.67
24M11,21,996,1090,992,996,-34,-3.3,9.51,869,41.4,"9,006",429,-124,+9.53,-6.13,-120,73.4,+0.65,32.2,-0.17,0.22,0.67
24M10,19,967,1100,967,1030,+73,+7.63,13.9,865,45.5,"9,043",476,+65.9,+2.71,+9.91,+78.5,73.9,-2.4,31.6,+0.08,0.39,1.24
24M09,20,950,1025,888,957,+13,+1.38,14.5,745,37.2,"7,056",353,+4.66,+5.47,-1.68,+8.45,73.6,-0.56,34,+0.09,0.31,0.91
24M08,22,969,977,813,944,+10,+1.07,17.6,"1,086",49.4,"9,968",453,-40,+14.7,-30.5,-55.8,73.6,+0.67,34.5,+0,0.22,0.64
24M07,21,968,1080,915,934,-32,-3.31,17.1,"1,148",54.7,"11,380",542,-193,+16.5,-4.13,-181,73.7,+9.32,33.9,-0.16,0.22,0.63
24M06,19,839,984,835,966,+145,+17.7,18.1,988,52,"9,157",482,-15.6,+3.43,+4.44,-7.73,74.5,+7.41,24.5,+0.12,0.38,1.53
24M05,22,789,878,772,821,+31,+3.92,13.4,824,37.4,"6,847",311,+57.7,+0.01,+12.6,+70.3,74.6,+0.46,17.1,-0.09,0.25,1.48
24M04,20,783,826,740,790,+11,+1.41,11,876,43.8,"6,879",344,-43.4,-3.93,+5.54,-41.8,74.4,+3.64,16.7,+0.34,0.34,2.04
24M03,21,697,796,688,779,+89,+12.9,15.7,"1,075",51.2,"8,177",389,+97.4,-6.97,+6.01,+96.5,74.6,-0.39,13,-0.35,0,0
24M02,13,625,709,619,690,+62,+9.87,14.3,611,47,"4,160",320,+85.8,-3.13,+11.4,+94,74.2,+2.31,13.4,-0.02,0.35,2.62
24M01,22,590,648,574,628,+35,+5.9,12.5,889,40.4,"5,440",247,+202,+2.38,+11.6,+216,73.8,-1.92,11.1,+0.18,0.37,3.33
23M12,21,573,593,566,593,+16,+2.77,4.68,608,29,"3,529",168,+142,-2.44,-25.3,+114,73,-3.53,13.1,-0.34,0.19,1.45
23M11,22,533,585,527,577,+48,+9.07,11,581,26.4,"3,308",150,+125,+1.02,+0.46,+127,72.5,-1.53,16.6,+0.28,0.53,3.18
23M10,20,530,556,519,529,+6,+1.15,7.07,552,27.6,"2,983",149,-15.1,+14.9,+3.51,+3.38,72,+0.03,18.1,+0.16,0.24,1.35
23M09,20,543,558,516,523,-26,-4.74,7.65,461,23.1,"2,478",124,-142,-2.27,+0.38,-144,72,+3.61,18.1,-0.02,0.09,0.48
23M08,22,565,569,534,549,-16,-2.83,6.19,484,22,"2,663",121,-75,+1.48,-2.08,-75.6,72.5,+0.17,14.5,-0.01,0.1,0.72
23M07,21,578,591,557,565,-11,-1.91,5.9,461,21.9,"2,640",126,-18.4,-8.62,-2.96,-29.9,72.8,+0.02,14.3,-0.11,0.12,0.8
23M06,20,550,594,550,576,+18,+3.23,7.89,540,27,"3,107",155,+62,-5.52,+6.6,+63.1,72.7,+0.8,14.3,-0.67,0.23,1.59
23M05,22,500,574,494.5,558,+56,+11.2,15.8,733,33.3,"3,935",179,+198,-3.15,+35.8,+231,72.6,-3.79,13.5,+0.62,0.9,6.67
23M04,17,530,535,489,502,-31,-5.82,8.63,410,24.1,"2,095",123,-52.7,-4.39,+7.59,-49.5,71.9,+0.32,17.3,+0.28,0.28,1.62
23M03,23,504,539,504,533,+22,+4.31,6.85,578,25.1,"3,013",131,+43.7,+5.72,+1.84,+51.3,72.1,-2.34,17,-1.39,0,0
23M02,18,532,546,505,511,-11,-2.11,7.85,585,32.5,"3,093",172,+63.4,+1.71,-1.23,+63.9,71.9,-1.27,19.3,-0.04,1.39,7.2
23M01,13,446,543,443,522,+73.5,+16.4,22.3,587,45.2,"2,958",228,+201,-0.17,+8.93,+210,71.7,-6.82,20.6,+0.36,1.43,6.94
22M12,22,506,508,442.5,448.5,-41.5,-8.47,13.4,664,30.2,"3,136",143,-71.9,+1.62,-14.3,-84.6,70.9,+2.62,27.5,-1.08,1.07,3.88
22M11,22,388.5,498,378.5,490,+100,+25.6,30.6,"1,053",47.9,"4,777",217,+95.6,+4.26,-21.5,+78.3,71.2,-7.38,24.9,+0.23,2.15,8.63
22M10,20,418.5,451,370,390,-32,-7.58,19.2,"1,031",51.5,"4,137",207,-126,+2.81,+25.8,-97.2,70.8,+2.52,32.3,+1.51,1.92,5.94
22M09,21,495,495.5,422,422,-83,-16.4,14.6,662,31.5,"3,077",147,-132,+4.51,+3.28,-125,71.3,+4.99,29.7,-0.54,0.4,1.35
22M08,23,506,527,488.5,505,-4,-0.79,7.56,565,24.6,"2,868",125,-62.1,+8.16,+9.31,-44.6,71.8,-1.1,24.7,-0.27,0.94,3.8
22M07,21,471.5,510,433,509,+33,+6.93,16.2,776,37,"3,670",175,+45.7,+4.38,+12.9,+63,72,-5.8,25.8,+0.84,1.21,4.69
22M06,21,550,555,476,476,-84,-15,14.1,677,32.2,"3,450",164,-134,+0.56,+12.5,-121,71.8,+1.32,31.6,-0.4,0.37,1.18
22M05,21,538,560,505,560,+22,+4.09,10.2,659,31.4,"3,484",166,-37.1,+3.91,+6.19,-27,72.5,-4.34,30.3,+0.62,0.78,2.56
22M04,19,585,589,523,538,-59,-9.88,11.1,682,35.9,"3,800",200,-196,+5.98,-0.41,-190,72.7,+1.25,34.7,+0.16,0.16,0.46
22M03,23,599,610,555,597,-7,-1.16,9.11,"1,073",46.6,"6,240",271,-324,+12.6,+6.77,-304,73.5,+2.67,33.4,-0.08,0,0
22M02,15,644,650,600,604,-32,-5.03,7.86,615,41,"3,864",258,-150,+7.07,+2.39,-141,74.8,+2.13,30.7,-0.14,0.08,0.26
22M01,18,619,688,618,636,+21,+3.41,11.4,984,54.7,"6,411",356,+84,+10.1,-0.55,+93.5,75.4,+3.43,28.6,+0.06,0.22,0.77
21M12,22,596,620,594,615,+19,+3.19,4.36,491,22.3,"2,975",135,+47.7,+3.4,+4.94,+56.1,75.1,+1.29,25.2,+0.06,0.16,0.63
21M11,22,591,623,585,596,+6,+1.02,6.44,547,24.8,"3,300",150,+40.6,-3.03,+1.55,+39.2,74.9,-1.69,23.9,-0.09,0.1,0.41
21M10,20,579,604,560,590,+10,+1.72,7.59,491,24.6,"2,869",143,-3.16,+6.48,+3.22,+6.54,74.7,-1.65,25.6,+0.09,0.18,0.72
21M09,20,614,638,575,580,-34,-5.54,10.3,605,30.3,"3,665",183,+7.27,+4.49,-8.73,+3.03,74.7,+0.89,27.2,-0.51,0.1,0.36
