0,1,2,3,4,5,6,7,8,9,10,11
25M01,1090,+15,+1.4%,40.01,27.24,600.2,696.2,792.2,888.2,984.2,1080
24M12,1075,+79,+7.93%,40.01,26.87,600.2,696.2,792.2,888.2,984.2,1080
24M11,996,-34,-3.3%,39.37,25.3,590.6,685.1,779.5,874,968.5,1063
24M10,1030,+73,+7.63%,38.73,26.59,581,673.9,766.9,859.8,952.8,1046
24M09,957,+13,+1.38%,38.09,25.12,571.4,662.8,754.2,845.7,937.1,1028
24M08,944,+10,+1.07%,37.45,25.2,561.8,651.7,741.6,831.5,921.4,1011
24M07,934,-32,-3.31%,36.81,25.37,552.2,640.6,728.9,817.3,905.6,994
24M06,966,+145,+17.7%,36.17,26.7,542.6,629.4,716.3,803.1,889.9,976.7
24M05,821,+31,+3.92%,35.54,23.1,533,618.3,703.6,788.9,874.2,959.5
24M04,790,+11,+1.41%,34.9,22.64,523.4,607.2,691,774.7,858.5,942.2
24M03,779,+89,+12.9%,34.26,22.74,513.9,596.1,678.3,760.5,842.7,925
24M02,690,+62,+9.87%,33.62,20.52,504.3,585,665.6,746.3,827,907.7
24M01,628,+35,+5.9%,32.98,19.04,494.7,573.8,653,732.1,811.3,890.4
23M12,593,+16,+2.77%,32.34,18.34,485.1,562.7,640.3,717.9,795.6,873.2
23M11,577,+48,+9.07%,32.91,17.53,493.7,572.7,651.7,730.6,809.6,888.6
23M10,529,+6,+1.15%,33.48,15.8,502.2,582.6,663,743.3,823.7,904
23M09,523,-26,-4.74%,34.06,15.36,510.8,592.6,674.3,756,837.8,919.5
23M08,549,-16,-2.83%,34.63,15.85,519.4,602.5,685.6,768.7,851.8,934.9
23M07,565,-11,-1.91%,35.2,16.05,528,612.5,696.9,781.4,865.9,950.4
23M06,576,+18,+3.23%,35.77,16.1,536.6,622.4,708.2,794.1,879.9,965.8
23M05,558,+56,+11.2%,36.34,15.35,545.1,632.3,719.6,806.8,894,981.2
23M04,502,-31,-5.82%,36.91,13.6,553.7,642.3,730.9,819.5,908.1,996.7
23M03,533,+22,+4.31%,37.48,14.22,562.3,652.2,742.2,832.2,922.1,1012
23M02,511,-11,-2.11%,38.06,13.43,570.9,662.2,753.5,844.9,936.2,1028
23M01,522,+73.5,+16.4%,38.63,13.51,579.4,672.1,764.8,857.5,950.3,1043
22M12,448.5,-41.5,-8.47%,39.2,11.44,588,682.1,776.2,870.2,964.3,1058
22M11,490,+100,+25.6%,37.85,12.95,567.8,658.6,749.4,840.3,931.1,1022
22M10,390,-32,-7.58%,36.5,10.68,547.5,635.1,722.7,810.3,897.9,985.5
22M09,422,-83,-16.4%,35.15,12,527.3,611.7,696,780.4,864.8,949.1
22M08,505,-4,-0.79%,33.8,14.94,507,588.2,669.3,750.4,831.6,912.7
22M07,509,+33,+6.93%,32.45,15.68,486.8,564.7,642.6,720.5,798.4,876.3
22M06,476,-84,-15%,31.11,15.3,466.6,541.2,615.9,690.5,765.2,839.8
22M05,560,+22,+4.09%,29.76,18.82,446.3,517.8,589.2,660.6,732,803.4
22M04,538,-59,-9.88%,28.41,18.94,426.1,494.3,562.5,630.6,698.8,767
22M03,597,-7,-1.16%,27.06,22.06,405.9,470.8,535.7,600.7,665.6,730.6
22M02,604,-32,-5.03%,25.71,23.49,385.6,447.3,509,570.7,632.4,694.1
22M01,636,+21,+3.41%,24.36,26.11,365.4,423.8,482.3,540.8,599.2,657.7
21M12,615,+19,+3.19%,23.01,26.73,345.2,400.4,455.6,510.8,566,621.3
21M11,596,+6,+1.02%,23.01,25.9,345.2,400.4,455.6,510.8,566,621.3
21M10,590,+10,+1.72%,23.01,25.64,345.2,400.4,455.6,510.8,566,621.3
21M09,580,-34,-5.54%,23.01,25.21,345.2,400.4,455.6,510.8,566,621.3
