0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2025,-,-,1500,1335,1400,1422,-15,-1.1,-,-,-,-,-,-,-,-
2023,160,64,1055,621,1015,765,+390,+62.4,48.51,21.7,12.8,15.8,231.31,4.56,2.68,3.31
2022,160,77,1215,533,625,787,-565,-47.5,74.59,16.3,7.15,10.6,276.51,4.39,1.93,2.85
2021,160,72,1200,752,1190,952,+443,+59.3,70.56,17,10.7,13.5,271.52,4.42,2.77,3.5
2020,159,68,763,273,747,543,+303.5,+68.4,26.01,29.3,10.5,20.9,234.97,3.25,1.16,2.31
2019,159,60,464,213.5,443.5,330,+214,+93.2,14.69,31.6,14.5,22.4,197.66,2.35,1.08,1.67
2018,159,57,374.5,199.5,229.5,280,-64.5,-21.9,13.26,28.2,15,21.1,172.35,2.17,1.16,1.62
2017,158,62,350.5,203,294,260,+77.5,+35.8,15.56,22.5,13,16.7,165.1,2.12,1.23,1.57
2016,158,57,265,192,216.5,231,-33.5,-13.4,15.16,17.5,12.7,15.2,155.48,1.7,1.23,1.48
2015,157,70,505,227,250,355,-212,-45.9,16.6,30.4,13.7,21.4,153.75,3.28,1.48,2.31
2014,157,81,545,384,462,467,+18.5,+4.2,30.04,18.1,12.8,15.6,158.07,3.45,2.43,2.96
2013,135,72,448.5,295,443.5,366,+120,+37.1,20.51,21.9,14.4,17.8,145.55,3.08,2.03,2.51
2012,135,68,351,235,323.5,294,+46,+16.6,12.81,27.4,18.3,23,130.99,2.68,1.79,2.24
2011,115,70,424,221,277.5,316,-140,-33.5,12.35,34.3,17.9,25.6,102.02,4.16,2.17,3.09
2010,110,87,590,372,417.5,478,-140.5,-25.2,28.44,20.7,13.1,16.8,102.29,5.77,3.64,4.67
2009,109,91,558,228,558,413,+337.5,+153,34.12,16.4,6.68,12.1,100.59,5.55,2.27,4.1
2008,107,87,444.5,177,220.5,328,-200.5,-47.6,18.01,24.7,9.83,18.2,76.6,5.8,2.31,4.28
2007,104,96,656,325.5,421,477,+84,+24.9,32.59,20.1,9.99,14.6,83.18,7.89,3.91,5.74
2006,96.8,98,418,259,337,332,-50,-12.9,23.5,17.8,11,14.1,70.27,5.95,3.69,4.73
2005,86.4,96,403.5,171,387,278,+171,+79.2,21.31,18.9,8.02,13,61.52,6.56,2.78,4.52
2004,76.9,96,396,187,216,276,-103,-32.3,18.73,21.1,9.98,14.8,55.86,7.09,3.35,4.95
2003,64.2,98,434,252,319,325,+34,+11.9,25.96,16.7,9.71,12.5,56.16,7.73,4.49,5.78
2002,46,91,783,240,285,473,-303,-51.5,26.79,29.2,8.96,17.7,51.79,15.1,4.63,9.14
2001,31.6,91,588,219,588,356,+291,+98,21.21,27.7,10.3,16.8,41.66,14.1,5.26,8.55
2000,21.7,79,-,-,-,-,-,-,15.34,-,-,-,30.49,-,-,-
1999,11.7,-,-,-,-,-,-,-,14.6,-,-,-,28.26,-,-,-
