0,1,2,3,4,5,6,7
2025,4.5,0,4.5,0,0,0,4.5
2024,15,0,15,0,0,0,15
2023,11.5,0,11.5,0,0,0,11.5
2022,11,0,11,0,0,0,11
2021,10.5,0,10.5,0,0,0,10.5
2020,10,0,10,0,0,0,10
2019,12.5,0,12.5,0,0,0,12.5
2018,8,0,8,0,0,0,8
2017,7,0,7,0,0,0,7
2016,6,0,6,0,0,0,6
2015,4.5,0,4.5,0,0,0,4.5
2014,3,0,3,0,0,0,3
2013,3,0,3,0,0,0,3
2012,2.999,0,2.999,0,0,0,2.999
2011,3,0,3,0,0,0,3
2010,3,0,3,0,0,0,3
2009,3,0,3,0.02,0.03,0.05,3.05
2008,3.025,0,3.025,0.02,0.03,0.05,3.075
2007,3,0,3,0.02,0.03,0.05,3.049
2006,2.499,0,2.499,0.15,0.15,0.3,2.799
2005,2,0,2,0.5,0,0.5,2.5
2004,0.604,0,0.604,1.409,0,1.409,2.012
2003,0,0,0,0.8,0,0.8,0.8
2002,0,0,0,1,0,1,1
2001,0,0,0,4,0,4,4
2000,0,0,0,2.555,0.245,2.8,2.8
1999,0,0,0,2.3,0,2.3,2.3
1998,0,0,0,4.5,0,4.5,4.5
1997,0,0,0,5,0,5,5
1996,0,0,0,8,0,8,8
1995,0,0,0,8,0,8,8
1994,1,0,1,2.48,0,2.48,3.48
1993,0,0,0,1.04,0,1.04,1.04
1992,0.1,0,0.1,0.4,0,0.4,0.5
